Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Deaths/1M pop,Total Test,Tests/1M pop
USA,2462708,154,124282 ,1,1040608,3,1297818,16541,7441,376,30062259
Brazil,1192474,0,53874 ,0,649908,0,488692,8318,5611,253,2751953
Russia,613994,7113,8605 ,92,375164,6342,230225,2300,4207,59,18115830
India,474272,1287,14914 ,7,271934,246,187424,8944,344,11,7560782
UK,306862,0,43081 ,0,N/A,N/A,N/A,311,4521,635,8542186
Spain,294166,0,28327 ,0,N/A,N/A,N/A,617,6292,606,5162909
Peru,264689,0,8586 ,0,151589,0,104514,1166,8030,260,1561653
Chile,254416,0,4731 ,0,215093,0,34592,2046,13311,248,1007635
Italy,239410,0,34644 ,0,186111,0,18655,107,3960,573,5107093
Iran,212501,0,9996 ,0,172096,0,30409,2869,2531,119,1502525
Mexico,196847,5437,24324 ,947,149318,4870,23205,378,1527,189,515658
Germany,193254,0,9003 ,0,176300,0,7951,331,2307,107,5412655
Pakistan,192970,4044,3903 ,148,81307,3553,107760,3003,874,18,1171976
Turkey,191657,0,5025 ,0,164234,0,22398,914,2273,60,3083121
Saudi Arabia,167267,0,1387 ,0,112797,0,53083,2129,4806,40,1407508
France,161348,0,29731 ,0,75127,0,56490,658,2472,455,1384633
Bangladesh,122660,0,1582 ,0,49666,0,71412,1,745,10,663444
South Africa,111796,0,2205 ,0,56874,0,52717,539,1885,37,1416894
Canada,102242,0,8484 ,0,65091,0,28667,2058,2709,225,2518650
Qatar,90778,0,104 ,0,73083,0,17591,219,32331,37,333172
Colombia,77113,0,2491 ,0,31671,0,42951,335,1516,49,651592
Sweden,62324,0,5209 ,0,N/A,N/A,N/A,193,6172,516,444607
Belgium,60898,0,9722 ,0,16771,0,34405,41,5255,839,1145258
Belarus,59945,0,362 ,0,40136,0,19447,89,6344,38,901904
Egypt,59561,0,2450 ,0,15935,0,41176,41,582,24,135000
Ecuador,51643,0,4274 ,0,24991,0,22378,273,2928,242,140705
Argentina,49851,0,1116 ,0,13816,0,34919,353,1103,25,300345
Netherlands,49804,0,6097 ,0,N/A,N/A,N/A,48,2907,356,561863
Indonesia,49009,0,2573 ,0,19658,0,26778,0,179,9,689452
UAE,46133,0,307 ,0,34405,0,11421,1,4666,31,3038000
Singapore,42736,113,26 ,0,36299,0,6411,1,7306,4,684359
Kuwait,41879,0,337 ,0,32809,0,8733,153,9809,79,365224
Portugal,40104,0,1543 ,0,26083,0,12478,73,3933,151,1102066
Ukraine,40008,994,1067 ,16,17758,349,21183,372,915,24,606766
Iraq,36702,0,1330 ,0,16814,0,18558,222,913,33,455316
Oman,33536,0,142 ,0,17972,0,15422,100,6572,28,169105
Poland,32821,0,1396 ,0,18654,520,12771,74,867,37,1399647
Philippines,32295,0,1204 ,0,8656,0,22435,82,295,11,631063
Switzerland,31376,0,1958 ,0,29000,0,418,12,3626,226,523909
Afghanistan,30175,535,675 ,36,10174,305,19326,19,776,17,68626
Dominican Republic,28631,0,691 ,0,16006,0,11934,182,2640,64,133718
Panama,28030,0,547 ,0,14794,0,12689,130,6499,127,111735
Bolivia,27487,1098,876 ,30,6795,495,19816,71,2355,75,64946
Ireland,25396,0,1726 ,0,23364,0,306,9,5144,350,408344
Romania,24826,0,1555 ,0,17391,0,5880,186,1290,81,651003
Bahrain,23570,0,69 ,0,17977,0,5524,37,13867,41,502763
Armenia,22488,771,397 ,11,11335,538,10756,10,7589,134,102736
Israel,22044,0,308 ,0,15940,0,5796,46,2397,33,886058
Nigeria,22020,0,542 ,0,7613,0,13865,7,107,3,120108
Kazakhstan,19285,520,136 ,0,11882,0,7267,121,1027,7,1424647
Japan,18024,0,963 ,0,16263,0,798,60,143,8,429481
Austria,17449,0,693 ,0,16282,0,474,11,1938,77,584243
Moldova,15078,0,502 ,7,8599,199,5977,455,3738,124,63328
Ghana,15013,0,95 ,0,11078,0,3840,6,483,3,280116
Guatemala,14819,279,601 ,19,2930,33,11288,5,828,34,31427
Honduras,14571,628,417 ,12,1546,85,12608,13,1472,42,21540
Azerbaijan,14305,0,174  ,0,7768,0,6363,66,1411,17,441961
Serbia,13235,0,263 ,0,12111,0,861,21,1515,30,359069
